Id,Prediction
"0",0
"1",1
"2",0
"3",0
"4",1
"5",0
"6",0
"7",0
"8",1
"9",0
"10",1
"11",0
"12",0
"13",1
"14",0
"15",0
"16",1
"17",0
"18",0
"19",0
"20",0
"21",1
"22",0
"23",1
"24",0
"25",0
"26",1
"27",0
"28",0
"29",0
"30",0
"31",1
"32",1
"33",1
"34",0
"35",0
"36",0
"37",1
"38",1
"39",0
"40",0
"41",1
"42",0
"43",1
"44",0
"45",0
"46",1
"47",0
"48",0
"49",1
"50",0
"51",0
"52",1
"53",0
"54",0
"55",0
"56",0
"57",0
"58",0
"59",1
"60",0
"61",0
"62",0
"63",1
"64",0
"65",0
"66",1
"67",0
"68",0
"69",0
"70",0
"71",0
"72",1
"73",0
"74",0
"75",0
"76",0
"77",1
"78",1
"79",0
"80",0
"81",1
"82",1
"83",0
"84",1
"85",1
"86",0
"87",0
"88",0
"89",0
"90",0
"91",0
"92",0
"93",1
"94",0
"95",0
"96",0
"97",0
"98",1
"99",0
"100",0
"101",0
"102",1
"103",0
"104",0
"105",0
"106",1
"107",0
"108",0
"109",0
"110",0
"111",0
"112",1
"113",0
"114",1
"115",1
"116",0
"117",0
"118",1
"119",1
"120",0
"121",0
"122",1
"123",1
"124",0
"125",0
"126",0
"127",1
"128",0
"129",1
"130",0
"131",0
"132",0
"133",1
"134",0
"135",0
"136",1
"137",1
"138",1
"139",0
"140",0
"141",0
"142",1
"143",0
"144",0
"145",0
"146",1
"147",1
"148",0
"149",0
"150",1
"151",0
"152",0
"153",1
"154",0
"155",0
"156",0
"157",0
"158",1
"159",1
"160",0
"161",0
"162",0
"163",1
"164",0
"165",1
"166",1
"167",0
"168",0
"169",0
"170",0
"171",1
"172",0
"173",0
"174",0
"175",0
"176",1
"177",0
"178",0
"179",0
"180",0
"181",0
"182",1
"183",0
"184",0
"185",0
"186",0
"187",1
"188",1
"189",0
"190",1
"191",0
"192",1
"193",0
"194",0
"195",0
"196",0
"197",1
"198",0
"199",1
"200",0
"201",0
"202",1
"203",0
"204",1
"205",0
"206",0
"207",1
"208",0
"209",1
"210",0
"211",1
"212",0
"213",0
"214",0
"215",1
"216",0
"217",0
"218",1
"219",0
"220",1
"221",0
"222",0
"223",0
"224",1
"225",1
"226",0
"227",1
"228",1
"229",0
"230",0
"231",1
"232",0
"233",0
"234",0
"235",0
"236",1
"237",0
"238",0
"239",0
"240",1
"241",1
"242",1
"243",0
"244",0
"245",1
"246",0
"247",0
"248",0
"249",0
"250",1
"251",1
"252",0
"253",0
"254",1
"255",0
"256",0
"257",0
"258",0
"259",0
"260",1
"261",1
"262",0
"263",0
"264",0
"265",1
"266",0
"267",1
"268",0
"269",0
"270",0
"271",0
"272",0
"273",0
"274",0
"275",0
"276",0
"277",0
"278",1
"279",1
"280",1
"281",0
"282",0
"283",0
"284",0
"285",0
"286",0
"287",0
"288",0
"289",1
"290",0
"291",0
"292",0
"293",0
"294",1
"295",1
"296",1
"297",0
"298",1
"299",0
"300",0
"301",0
"302",0
"303",0
"304",0
"305",0
"306",1
"307",0
"308",0
"309",0
"310",1
"311",1
"312",1
"313",0
"314",0
"315",0
"316",0
"317",1
"318",0
"319",0
"320",0
"321",0
"322",1
"323",1
"324",1
"325",0
"326",0
"327",0
"328",0
"329",1
"330",1
"331",0
"332",0
"333",0
"334",1
"335",0
"336",0
"337",1
"338",0
"339",1
"340",0
"341",0
"342",1
"343",0
"344",0
"345",0
"346",0
"347",0
"348",0
"349",1
"350",0
"351",0
"352",0
"353",1
"354",0
"355",0
"356",1
"357",0
"358",0
"359",0
"360",1
"361",1
"362",0
"363",0
"364",0
"365",1
"366",0
"367",1
"368",0
"369",1
"370",1
"371",0
"372",0
"373",0
"374",0
"375",0
"376",1
"377",0
"378",0
"379",0
"380",0
"381",0
"382",0
"383",1
"384",0
"385",1
"386",1
"387",0
"388",1
"389",1
"390",1
"391",0
"392",0
"393",0
"394",1
"395",1
"396",1
"397",0
"398",0
"399",1
"400",0
"401",0
"402",0
"403",1
"404",0
"405",0
"406",1
"407",0
"408",0
"409",1
"410",0
"411",0
"412",0
"413",0
"414",1
"415",1
"416",0
"417",0
"418",0
"419",0
"420",1
"421",1
"422",0
"423",0
"424",0
"425",0
"426",0
"427",0
"428",0
"429",0
"430",1
"431",0
"432",0
"433",0
"434",1
"435",1
"436",1
"437",0
"438",0
"439",1
"440",0
"441",1
"442",0
"443",0
"444",0
"445",0
"446",0
"447",1
"448",0
"449",0
"450",1
"451",0
"452",0
"453",1
"454",0
"455",0
"456",1
"457",0
"458",1
"459",0
"460",0
"461",0
"462",0
"463",0
"464",1
"465",0
"466",0
"467",0
"468",1
"469",1
"470",0
"471",0
"472",1
"473",0
"474",0
"475",0
"476",0
"477",0
"478",1
"479",0
"480",0
"481",0
"482",0
"483",1
"484",0
"485",1
"486",0
"487",0
"488",0
"489",0
"490",0
"491",0
"492",0
"493",1
"494",0
"495",0
"496",0
"497",0
"498",1
"499",0
"500",1
"501",0
"502",1
"503",1
"504",0
"505",0
"506",0
"507",1
"508",0
"509",1
"510",1
"511",0
"512",0
"513",0
"514",0
"515",0
"516",1
"517",1
"518",0
"519",0
"520",1
"521",0
"522",0
"523",0
"524",0
"525",0
"526",0
"527",0
"528",0
"529",0
"530",0
"531",0
"532",0
"533",1
"534",1
"535",0
"536",1
"537",1
"538",0
"539",0
"540",1
"541",0
"542",0
"543",0
"544",0
"545",0
"546",0
"547",0
"548",0
"549",0
"550",1
"551",1
"552",0
"553",0
"554",1
"555",1
"556",0
"557",1
"558",0
"559",0
"560",0
"561",1
"562",1
"563",0
"564",1
"565",0
"566",0
"567",1
"568",0
"569",1
"570",0
"571",1
"572",1
"573",1
"574",0
"575",0
"576",0
"577",0
"578",0
"579",1
"580",0
"581",1
"582",1
"583",1
"584",1
"585",0
"586",0
"587",0
"588",1
"589",0
"590",1
"591",0
"592",0
"593",0
"594",1
"595",0
"596",0
"597",0
"598",1
"599",0
"600",0
"601",0
"602",1
"603",0
"604",0
"605",0
"606",0
"607",0
"608",1
"609",1
"610",1
"611",0
"612",0
"613",1
"614",0
"615",0
"616",1
"617",0
"618",0
"619",0
"620",0
"621",0
"622",0
"623",1
"624",1
"625",0
"626",1
"627",0
"628",0
"629",0
"630",1
"631",0
"632",0
"633",0
"634",1
"635",1
"636",0
"637",0
"638",0
"639",0
"640",0
"641",1
"642",0
"643",0
"644",1
"645",0
"646",0
"647",1
"648",0
"649",0
"650",1
"651",1
"652",0
"653",1
"654",1
"655",1
"656",0
"657",1
"658",0
"659",1
"660",1
"661",0
"662",0
"663",0
"664",0
"665",1
"666",1
"667",0
"668",0
"669",1
"670",0
"671",0
"672",0
"673",0
"674",0
"675",0
"676",1
"677",0
"678",0
"679",0
"680",0
"681",1
"682",0
"683",0
"684",0
"685",0
"686",1
"687",1
"688",0
"689",0
"690",1
"691",1
"692",0
"693",1
"694",1
"695",1
"696",0
"697",0
"698",0
"699",1
"700",1
"701",0
"702",0
"703",0
"704",0
"705",0
"706",1
"707",1
"708",0
"709",0
"710",1
"711",0
"712",1
"713",0
"714",0
"715",0
"716",0
"717",0
"718",0
"719",1
"720",0
"721",0
"722",0
"723",0
"724",0
"725",0
"726",0
"727",0
"728",0
"729",0
"730",0
"731",0
"732",0
"733",0
"734",0
"735",0
"736",0
"737",0
"738",0
"739",1
"740",0
"741",0
"742",0
"743",0
"744",1
"745",0
"746",0
"747",1
"748",1
"749",0
"750",0
"751",0
"752",1
"753",0
"754",0
"755",0
"756",0
"757",0
"758",1
"759",1
"760",1
"761",0
"762",1
"763",0
"764",0
"765",0
"766",1
"767",0
"768",0
"769",1
"770",1
"771",1
"772",1
"773",0
"774",0
"775",0
"776",0
"777",0
"778",0
"779",1
"780",0
"781",0
"782",0
"783",0
"784",1
"785",0
"786",1
"787",0
"788",0
"789",0
"790",1
"791",1
"792",0
"793",0
"794",0
"795",0
"796",1
"797",0
"798",1
"799",1
"800",0
"801",0
"802",1
"803",0
"804",0
"805",0
"806",1
"807",0
"808",1
"809",1
"810",1
"811",0
"812",0
"813",0
"814",1
"815",0
"816",1
"817",0
"818",1
"819",1
"820",1
"821",1
"822",0
"823",0
"824",1
"825",0
"826",0
"827",0
"828",0
"829",0
"830",1
"831",1
"832",0
"833",0
"834",1
"835",0
"836",1
"837",0
"838",1
"839",0
"840",0
"841",1
"842",1
"843",0
"844",0
"845",0
"846",0
"847",0
"848",0
"849",0
"850",0
"851",1
"852",0
"853",1
"854",0
"855",0
"856",0
"857",1
"858",0
"859",0
