Id,Prediction
"1",0
"2",1
"3",0
"4",0
"5",1
"6",0
"7",0
"8",0
"9",1
"10",0
"11",1
"12",0
"13",0
"14",1
"15",0
"16",0
"17",1
"18",0
"19",0
"20",0
"21",0
"22",1
"23",0
"24",1
"25",0
"26",0
"27",1
"28",0
"29",0
"30",0
"31",0
"32",1
"33",1
"34",1
"35",0
"36",0
"37",0
"38",1
"39",1
"40",0
"41",0
"42",1
"43",0
"44",1
"45",0
"46",0
"47",1
"48",0
"49",0
"50",1
"51",0
"52",0
"53",1
"54",0
"55",0
"56",0
"57",0
"58",0
"59",0
"60",1
"61",0
"62",0
"63",0
"64",1
"65",0
"66",0
"67",1
"68",0
"69",0
"70",0
"71",0
"72",0
"73",1
"74",0
"75",0
"76",0
"77",0
"78",1
"79",1
"80",0
"81",0
"82",1
"83",1
"84",0
"85",1
"86",1
"87",0
"88",0
"89",0
"90",0
"91",0
"92",0
"93",0
"94",1
"95",0
"96",0
"97",0
"98",0
"99",1
"100",0
"101",0
"102",0
"103",1
"104",0
"105",0
"106",0
"107",1
"108",0
"109",0
"110",0
"111",0
"112",0
"113",1
"114",0
"115",1
"116",1
"117",0
"118",0
"119",1
"120",1
"121",0
"122",0
"123",1
"124",1
"125",0
"126",0
"127",0
"128",1
"129",0
"130",1
"131",0
"132",0
"133",0
"134",1
"135",0
"136",0
"137",1
"138",1
"139",1
"140",0
"141",0
"142",0
"143",1
"144",0
"145",0
"146",0
"147",1
"148",1
"149",0
"150",0
"151",1
"152",0
"153",0
"154",1
"155",0
"156",0
"157",0
"158",0
"159",1
"160",1
"161",0
"162",0
"163",0
"164",1
"165",0
"166",1
"167",1
"168",0
"169",0
"170",0
"171",0
"172",1
"173",0
"174",0
"175",0
"176",0
"177",1
"178",0
"179",0
"180",0
"181",0
"182",0
"183",1
"184",0
"185",0
"186",0
"187",0
"188",1
"189",1
"190",0
"191",1
"192",0
"193",1
"194",0
"195",0
"196",0
"197",0
"198",1
"199",0
"200",1
"201",0
"202",0
"203",1
"204",0
"205",1
"206",0
"207",0
"208",1
"209",0
"210",1
"211",0
"212",1
"213",0
"214",0
"215",0
"216",1
"217",0
"218",0
"219",1
"220",0
"221",1
"222",0
"223",0
"224",0
"225",1
"226",1
"227",0
"228",1
"229",1
"230",0
"231",0
"232",1
"233",0
"234",0
"235",0
"236",0
"237",1
"238",0
"239",0
"240",0
"241",1
"242",1
"243",1
"244",0
"245",0
"246",1
"247",0
"248",0
"249",0
"250",0
"251",1
"252",1
"253",0
"254",0
"255",1
"256",0
"257",0
"258",0
"259",0
"260",0
"261",1
"262",1
"263",0
"264",0
"265",0
"266",1
"267",0
"268",1
"269",0
"270",0
"271",0
"272",0
"273",0
"274",0
"275",0
"276",0
"277",0
"278",0
"279",1
"280",1
"281",1
"282",0
"283",0
"284",0
"285",0
"286",0
"287",0
"288",0
"289",0
"290",1
"291",0
"292",0
"293",0
"294",0
"295",1
"296",1
"297",1
"298",0
"299",1
"300",0
"301",0
"302",0
"303",0
"304",0
"305",0
"306",0
"307",1
"308",0
"309",0
"310",0
"311",1
"312",1
"313",1
"314",0
"315",0
"316",0
"317",0
"318",1
"319",0
"320",0
"321",0
"322",0
"323",1
"324",1
"325",1
"326",0
"327",0
"328",0
"329",0
"330",1
"331",1
"332",0
"333",0
"334",0
"335",1
